#{"t_start": 1770591592.2875574, "env_id": "None"}
r,l,t
800.9,2337,3.799942
947.1,2873,6.563596
500.8,1945,9.15959
762.0,4329,16.224751
1118.0,4711,21.407902
320.1,1362,23.611105
453.7,1805,25.999494
1042.3,4941,31.355052
524.4,3451,36.177096
1856.0,8096,46.221755
5052.2,9710,58.934197
973.9,8176,68.761271
1142.5,5391,74.157494
3525.0,7364,84.132895
1324.9,4708,89.527504
1004.8,5452,97.003695
948.2,6650,104.880372
892.8,3180,109.588069
278.2,1460,110.183054
954.1,6196,117.756532
336.5,3470,122.497283
6725.1,13633,139.770997
655.8,4379,144.961665
1811.3,14045,162.27619
865.4,5193,167.800475
1273.1,3444,172.6246
1396.0,4925,177.999744
1209.5,4308,184.916843
1689.7,5438,190.605955
1650.9,5051,197.70577
1711.0,5641,203.465708
717.5,3772,208.353736
849.9,3980,213.491017
881.7,4057,218.743927
1642.9,9961,231.162529
1019.3,4617,236.41488
964.2,4874,243.25786
895.3,2766,246.141866
1134.8,4265,251.345572
1107.5,5391,258.597152
1368.1,5821,266.022682
1415.5,4119,271.188362
1594.9,5743,276.919484
2310.0,6804,286.411685
2145.4,5171,291.978725
1182.8,4660,298.936973
1412.3,4590,304.278001
2039.6,5811,311.699662
1801.9,3827,314.978178
1491.6,5427,322.083938
1274.0,3801,327.013901
1156.9,3146,331.584719
1302.7,4615,337.084827
1004.7,3482,340.229359
1004.7,3520,345.023186
295.3,2244,347.703753
99.1,672,349.673804
1003.0,4906,354.946193
747.3,2594,357.618616
942.0,3668,362.484777
576.3,2619,365.210614
505.2,2262,367.861678
462.8,2011,370.236556
598.9,2231,374.33451
354.1,2050,376.807953
-20.7,753,377.225367
952.0,3237,380.250936
844.5,1669,382.623986
733.0,2687,387.008193
972.0,2752,389.909313
848.3,3068,392.935348
515.0,1676,395.29686
129.6,731,397.184312
241.4,1940,399.745369
832.4,2887,402.668257
1100.8,6030,410.023199
637.0,1572,412.40646
636.4,1446,412.989365
248.0,1080,415.127392
808.9,2673,417.987709
683.9,1850,420.387202
901.3,2664,423.127128
1045.9,3574,427.914352
455.9,1600,430.22474
922.7,2420,432.978831
724.6,1902,435.42165
1020.4,3386,440.128105
428.4,1320,440.678174
786.3,2143,443.127072
518.2,1459,445.475217
1246.1,5895,452.690544
548.0,1555,454.946628
1202.5,5890,462.261591
39.0,700,462.568415
915.3,2366,465.245075
1263.1,5945,472.946002
1303.0,5798,480.051399
1013.3,5979,487.473988
2208.7,6783,495.348314
1033.6,5882,502.587516
1194.7,5777,510.064444
391.3,1482,512.305248
573.8,1279,512.961268
632.1,1579,515.365932
631.5,1826,517.742361
1189.4,6478,525.622137
521.7,2192,528.20265
794.1,2814,530.998795
453.0,2011,533.44585
1146.8,6175,540.825292
745.4,2258,544.897717
1087.9,5513,550.418558
337.0,1223,552.570294
606.1,1747,554.938141
1158.4,5468,560.334573
1110.8,5024,567.291095
764.1,2233,569.926188
677.4,2008,572.426945
989.3,3073,575.388192
765.6,2226,578.017016
807.7,3175,582.533896
308.8,985,582.970867
1255.4,5000,590.179389
935.0,2857,593.039909
756.2,2183,595.586971
667.0,2108,598.112314
687.6,1754,600.571729
1070.6,3844,605.441746
549.0,1295,607.75236
458.5,1249,608.281801
1095.6,5205,615.313758
748.1,1921,617.716799
518.6,1096,618.188237
856.9,2360,622.504984
488.8,1359,623.169704
1428.0,5468,630.355886
218.8,898,630.755973
801.2,2781,635.263108
1000.1,3542,638.323883
944.6,2419,642.459798
903.8,3173,645.393666
399.2,1071,647.702885
667.6,2044,650.199573
868.7,2725,652.936165
1073.4,3964,657.785886
787.9,2015,660.293906
993.1,5181,665.648353
518.6,2199,668.160138
607.9,2118,672.292777
575.2,1712,673.111325
563.0,1951,675.589638
138.6,745,677.641916
736.0,2597,680.333071
565.5,1671,682.731667
202.3,1266,683.26726
862.8,5848,690.84571
1357.3,5492,698.000086
668.7,2495,700.662724
1337.1,5456,707.838744
291.3,1033,708.301527
1669.8,6406,715.734509
901.8,4308,722.259196
773.7,2569,725.031441
-154.4,530,725.263533
